1248,1249,1249,1249,1249,1249,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4808,576,577,2,3,0,1,2,3,0,0,1,2,8,9,10,11,8,9,10,11,8,9,10,11,8,9,10,11,8,9,10,11,8,9,10,11,8,9,10,11,8,9
1314,1580,1581,1579,1580,1581,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4874,608,609,14,15,12,13,14,588,589,3,4,5,468,469,22,23,20,21,22,23,468,469,576,577,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21
1314,1646,1647,1645,1646,1647,4939,4939,4939,4939,4939,4939,4939,4939,4939,4939,4939,4939,4939,4939,4939,4941,4873,4874,371,561,529,467,562,370,530,620,621,3,4,5,500,501,496,464,497,530,338,433,500,501,608,609,498,33,34,35,32,33,34,35,32,33,34,35,32,33,34,35,32,33
1314,1514,1515,1513,1514,1515,1207,1207,1208,432,530,434,435,337,498,465,464,339,496,434,497,4872,4873,4811,4807,4807,4807,4807,4807,4807,4807,4807,4807,4809,4873,4811,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4807,4808,529,45,46,47,44,45,46,10,11,12,13,47,44,45,46,47,44,45
1314,1580,1581,1579,1580,1581,1273,1273,1274,529,13,980,981,980,981,14,15,12,13,14,498,4872,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4873,4874,92,93,10,11,8,9,10,42,43,44,45,11,8,9,10,11,8,9
1314,1646,1647,1645,1646,1647,1341,1273,1274,402,402,1012,1013,1012,1013,26,27,340,341,342,336,4872,1264,4943,4939,4939,4939,4941,4873,4943,4939,4939,4939,4939,4939,4939,4939,4941,1275,4943,4939,4939,4939,4939,4939,4941,4873,4874,124,125,22,23,20,21,22,74,75,76,77,23,20,21,22,23,20,21
4836,4837,4838,561,434,403,1272,1273,1273,1207,1207,1207,1207,1207,1208,529,39,372,373,374,375,3,4,5,560,531,496,3048,3049,3050,401,402,402,338,433,562,983,3,4,5,468,469,528,465,339,4872,4873,4874,982,983,34,35,10,11,12,106,107,108,109,35,32,33,34,35,32,33
4836,4837,4838,563,466,368,1272,1273,1273,1273,1273,1273,1273,1273,1274,716,717,404,405,406,407,3,4,5,563,499,434,3048,3049,3050,332,333,13,14,15,1014,1015,3,4,5,500,501,15,332,333,4872,4873,4874,1014,1015,46,47,42,43,44,45,44,45,10,11,12,13,46,47,44,45
4836,4837,4838,402,402,432,1338,1339,1339,1339,1339,1339,1371,1273,1274,748,749,436,437,438,439,6,7,8,336,336,336,3048,3049,3050,364,365,25,26,27,24,25,6,7,8,25,26,27,364,365,4872,4873,4874,92,93,10,11,74,75,76,77,8,9,42,43,44,45,10,11,8,9
4836,4837,4775,4771,4771,4772,338,464,370,496,499,432,1272,1273,1211,1,1,2,25,26,27,24,25,498,2982,2983,2983,2985,3049,2987,1,1,2,982,983,36,37,38,39,36,37,38,0,1,1,4809,4873,4874,124,125,22,23,106,107,108,109,20,21,74,75,76,77,22,23,20,21
4836,4837,4837,4837,4837,4838,268,269,14,15,12,465,1272,1273,1309,4,4,5,37,38,39,36,37,337,3048,3049,3049,3049,3049,3049,4,4,5,1014,1015,0,1,4,5,0,1,2,3,4,4,1303,4873,4874,562,369,34,35,32,33,34,35,32,33,106,107,108,109,34,35,32,33
4902,4903,4903,4905,4837,4838,300,301,26,27,708,709,1272,1273,1309,7,7,8,1,2,3,0,1,336,3048,3049,3049,3115,3115,3115,7,7,8,14,15,12,13,36,37,12,13,14,6,7,7,4941,4873,4874,922,923,46,47,44,8,9,10,11,45,46,47,44,45,46,47,44,45
8,9,402,4836,4837,4775,1,1,2,39,740,741,1272,1273,1274,370,369,338,0,1,2,12,13,336,3048,3049,3050,980,981,336,336,336,25,26,27,24,25,68,69,24,25,26,27,24,563,4872,4873,4874,954,955,10,11,8,20,21,22,23,0,1,2,8,9,10,11,8,9
20,21,402,4836,4837,3055,4,4,5,3,708,709,1272,1273,1274,836,837,432,3,4,5,24,25,336,3048,3049,3050,1012,1013,38,39,36,37,38,39,36,37,100,101,36,37,38,39,36,560,4872,4873,4874,986,987,22,23,20,32,33,652,653,3,4,5,20,576,577,23,20,21
